full_text,cleaned_text,case_folding,normalisasi,affiliate,stemming,labeling
@ivanbaeek @marlina_idha Anies Mulutnya Otaknya Berpura-pura  FUCK Anies,Anies Mulutnya Otaknya Berpura pura FUCK Anies,anies mulutnya otaknya berpura pura fuck anies,anies mulutnya otaknya berpura pura fuck anies ,anies,anies mulut otak pura pura fuck anies,negative
"@xquitavee Ngimpi lo lonte. Semakin lo gak respek calon pilihan rakyat, semakin kita gak akan respect lo. Kita nonton debat si wowo si lahap Anies dan si bocil panik minta pasukan nya utk tepuk tangan saat wowo bicara. Ini digital era, lo mau ngomong smp berbusa pun, gak bisa bohong.",Ngimpi lo lonte Semakin lo gak respek calon pilihan rakyat semakin kita gak akan respect lo Kita nonton debat si wowo si lahap Anies dan si bocil panik minta pasukan nya utk tepuk tangan saat wowo bicara Ini digital era lo mau ngomong smp berbusa pun gak bisa bohong,ngimpi lo lonte semakin lo gak respek calon pilihan rakyat semakin kita gak akan respect lo kita nonton debat si wowo si lahap anies dan si bocil panik minta pasukan nya utk tepuk tangan saat wowo bicara ini digital era lo mau ngomong smp berbusa pun gak bisa bohong,mimpi lo lonte lo respek calon pilihan rakyat respect lo menonton debat sih wowo sih lahap anies sih bocil panik pasukan nya tepuk tangan wowo bicara digital era lo mengomong berbusa bohong ,anies,mimpi lo lonte lo respek calon pilih rakyat respect lo tonton debat sih wowo sih lahap anies sih bocil panik pasu nya tepuk tangan wowo bicara digital era lo omong busa bohong,positive
"@zy_zy_its_me 🤣 🤣 🤣 Anies itu di pilih dulu 2016 krn elektabilitasnya bagus dianggap bisa lawan ahok, prabowo gak bodoh kalo elektabilitas anies jelek gak bakal di pilih, jd prabowo waktu itu butuh anies dan reza patra org gerindra menjabat tuh.",Anies itu di pilih dulu krn elektabilitasnya bagus dianggap bisa lawan ahok prabowo gak bodoh kalo elektabilitas anies jelek gak bakal di pilih jd prabowo waktu itu butuh anies dan reza patra org gerindra menjabat tuh,anies itu di pilih dulu krn elektabilitasnya bagus dianggap bisa lawan ahok prabowo gak bodoh kalo elektabilitas anies jelek gak bakal di pilih jd prabowo waktu itu butuh anies dan reza patra org gerindra menjabat tuh,anies pilih elektabilitasnya bagus dianggap lawan ahok prabowo bodoh kalo elektabilitas anies jelek pilih prabowo butuh anies reza patra orang gerindra menjabat tuh ,anies,anies pilih elektabilitasnya bagus anggap lawan ahok prabowo bodoh kalo elektabilitas anies jelek pilih prabowo butuh anies reza patra orang gerindra jabat tuh,negative
"semangat kerja nya ya bang ngebelain paslon kosong"" sama ngejilat jokowi nya. Pak Anies Beliau gapernah selalu ngerasa lebih baik dari Pak Jokowi atau Pak Prabowo atau siapapun beliau hanya ingin membuktikan kepada orang² yang merasa pesimis terhadap gagasannya😋 https://t.co/GabxLw33dg""",semangat kerja nya ya bang ngebelain paslon kosong sama ngejilat jokowi nya Pak Anies Beliau gapernah selalu ngerasa lebih baik dari Pak Jokowi atau Pak Prabowo atau siapapun beliau hanya ingin membuktikan kepada orang yang merasa pesimis terhadap gagasannya,semangat kerja nya ya bang ngebelain paslon kosong sama ngejilat jokowi nya pak anies beliau gapernah selalu ngerasa lebih baik dari pak jokowi atau pak prabowo atau siapapun beliau hanya ingin membuktikan kepada orang yang merasa pesimis terhadap gagasannya,semangat kerja nya ya bang membela paslon kosong menjilat jokowi nya anies beliau jokowi prabowo beliau membuktikan orang pesimis gagasannya ,anies,semangat kerja nya ya bang bela paslon kosong jilat jokowi nya anies beliau jokowi prabowo beliau bukti orang pesimis gagas,positive
"@muchlis_ar Hebatnya pak anies, dipinang sana sini karena potensi. Emas tetaplah emas. Indonesia untuk perubahan",Hebatnya pak anies dipinang sana sini karena potensi Emas tetaplah emas Indonesia untuk perubahan,hebatnya pak anies dipinang sana sini karena potensi emas tetaplah emas indonesia untuk perubahan,hebatnya anies dipinang potensi emas tetaplah emas indonesia perubahan ,anies,hebat anies pinang potensi emas tetap emas indonesia ubah,positive
"@aniesbaswedan Bravo Pak Anies 👍 Sy usul Program Perluas Perkebunan Buah2an Nasional yg selama ini terkesan minim. Pisang lokal bagus jga sulit. Klo lihat toko2 buah baik di supermarket2 atau pasar buah, bnyak sekali buah2 impor, kadang kalahkan buah2 lokal. Petani buahpun bs disejahterakan.",Bravo Pak Anies Sy usul Program Perluas Perkebunan Buah an Nasional yg selama ini terkesan minim Pisang lokal bagus jga sulit Klo lihat toko buah baik di supermarket atau pasar buah bnyak sekali buah impor kadang kalahkan buah lokal Petani buahpun bs disejahterakan,bravo pak anies sy usul program perluas perkebunan buah an nasional yg selama ini terkesan minim pisang lokal bagus jga sulit klo lihat toko buah baik di supermarket atau pasar buah bnyak sekali buah impor kadang kalahkan buah lokal petani buahpun bs disejahterakan,bravo anies usul program perluas perkebunan buah an nasional terkesan minim pisang lokal bagus sulit kalo lihat toko buah supermarket pasar buah buah impor kadang kalahkan buah lokal petani buahpun disejahterakan ,anies,bravo anies usul program luas kebun buah an nasional kes minim pisang lokal bagus sulit kalo lihat toko buah supermarket pasar buah buah impor kadang kalah buah lokal tani buah sejahtera,positive
"@Hadirailguard Lalu menurut anda paling kuat kepempinan dan paling bijaksana siapa ?  1. anies jadi presiden indonesia memimpin suku bangsa asli yang tidak memiliki kekuatan politik di area politik di kendalikan nasdem, pks dan pkb.  2. ganjar yg pasti di setir sebagai petugas partai pdip ?",Lalu menurut anda paling kuat kepempinan dan paling bijaksana siapa anies jadi presiden indonesia memimpin suku bangsa asli yang tidak memiliki kekuatan politik di area politik di kendalikan nasdem pks dan pkb ganjar yg pasti di setir sebagai petugas partai pdip,lalu menurut anda paling kuat kepempinan dan paling bijaksana siapa anies jadi presiden indonesia memimpin suku bangsa asli yang tidak memiliki kekuatan politik di area politik di kendalikan nasdem pks dan pkb ganjar yg pasti di setir sebagai petugas partai pdip,kuat kepempinan bijaksana anies presiden indonesia memimpin suku bangsa asli memiliki kekuatan politik area politik kendalikan nasdem pks pkb ganjar setir petugas partai pdip ,anies,kuat kepempinan bijaksana anies presiden indonesia pimpin suku bangsa asli milik kuat politik area politik kendali nasdem pks pkb ganjar setir tugas partai pdip,positive
"@msaid_didu @prabowo @aniesbaswedan pak prabowo dari 2004 - 2019 jadi oposisi, mas anies belum pernah jadi oposisi, dia jadi gubernur, come on mas didu...",pak prabowo dari jadi oposisi mas anies belum pernah jadi oposisi dia jadi gubernur come on mas didu,pak prabowo dari jadi oposisi mas anies belum pernah jadi oposisi dia jadi gubernur come on mas didu,prabowo oposisi mas anies oposisi gubernur come on mas didu ,anies,prabowo oposisi mas anies oposisi gubernur come on mas didu,negative
@Bu__Nuk Ya itu yg tak jelasin tadi itu yg di bilang sm Anies gmn sih.,Ya itu yg tak jelasin tadi itu yg di bilang sm Anies gmn sih,ya itu yg tak jelasin tadi itu yg di bilang sm anies gmn sih,ya jelasin bilang anies sih ,anies,ya jelasin bilang anies sih,neutral
@BoediTomo19 @Ndons_Back @Eron1977 @thinker_ball @PartaiSocmed @99propaganda @bengkeldodo @P4P4B0W0_2024 @Bank_Joee_ @BANGSAygSUJUD @are_inismyname @Lembayung071 @Royan_02 Dengan sendirinya krn Anies adalah simbol oposisi semua partai tsb mestinya mendukung semua kebijakannya sprti di DKI,Dengan sendirinya krn Anies adalah simbol oposisi semua partai tsb mestinya mendukung semua kebijakannya sprti di DKI,dengan sendirinya krn anies adalah simbol oposisi semua partai tsb mestinya mendukung semua kebijakannya sprti di dki,anies simbol oposisi partai mestinya mendukung kebijakannya dki ,anies,anies simbol oposisi partai mesti dukung bijak dki,positive
