full_text,cleaned_text,case_folding,normalisasi,affiliate,stemming,labeling
"@ekokuntadhi1 Keliatan banget harmonisnya keluarga Pak Ganjar. Saling support dan saling menghargai, benar-benar family goals!",Keliatan banget harmonisnya keluarga Pak Ganjar Saling support dan saling menghargai benar benar family goals,keliatan banget harmonisnya keluarga pak ganjar saling support dan saling menghargai benar benar family goals,banget harmonisnya keluarga ganjar support menghargai family goals ,ganjar,banget harmonis keluarga ganjar support harga family goals,positive
@ch_chotimah2 @prabowo @gibran_tweet Anis saja dipecat Mentri. Indikasi terduga ala kelebihan bayar. Lanjut Gubernur intoleransi jual mayat dalam politik agama. Hasil anggaran dki bocor bocor hanya sukses kelebihan bayar yang ada. Masih mendingan Ganjar Mahfud lebih amanah dari Anis.,Anis saja dipecat Mentri Indikasi terduga ala kelebihan bayar Lanjut Gubernur intoleransi jual mayat dalam politik agama Hasil anggaran dki bocor bocor hanya sukses kelebihan bayar yang ada Masih mendingan Ganjar Mahfud lebih amanah dari Anis,anis saja dipecat mentri indikasi terduga ala kelebihan bayar lanjut gubernur intoleransi jual mayat dalam politik agama hasil anggaran dki bocor bocor hanya sukses kelebihan bayar yang ada masih mendingan ganjar mahfud lebih amanah dari anis,anis dipecat mentri indikasi terduga ala kelebihan bayar gubernur intoleransi jual mayat politik agama hasil anggaran dki bocor bocor sukses kelebihan bayar mendingan ganjar mahfud amanah anis ,ganjar,anis pecat tri indikasi duga ala lebih bayar gubernur intoleransi jual mayat politik agama hasil anggar dki bocor bocor sukses lebih bayar mending ganjar mahfud amanah anis,neutral
"@ekokuntadhi1 Jadi pengen punya keluarga yang kayak keluarga Pak Ganjar, selalu solid dan penuh kasih sayang. Saling dukung dalam suka dan duka.",Jadi pengen punya keluarga yang kayak keluarga Pak Ganjar selalu solid dan penuh kasih sayang Saling dukung dalam suka dan duka,jadi pengen punya keluarga yang kayak keluarga pak ganjar selalu solid dan penuh kasih sayang saling dukung dalam suka dan duka,pengin keluarga kayak keluarga ganjar solid penuh kasih sayang dukung suka duka ,ganjar,pengin keluarga kayak keluarga ganjar solid penuh kasih sayang dukung suka duka,positive
Pada pembukaan debat Capres Ganjar tanggapi wacana demokrasi dari Paslon Nomor Urut 1 dengan mengungkapkan bahwa demokrasi tak dapat terwujud tanpa peran Partai Politik #SahabatGanjar #GanjarPranowo #Ganjar #GenerasiGotongRoyong #GanjarPresiden #GanjarUntukSemua #GanjarMahfud2024 https://t.co/O5ERFqjY0g,Pada pembukaan debat Capres Ganjar tanggapi wacana demokrasi dari Paslon Nomor Urut dengan mengungkapkan bahwa demokrasi tak dapat terwujud tanpa peran Partai Politik Sahabat Ganjar Ganjar Pranowo Ganjar Generasi Gotong Royong Ganjar Presiden Ganjar Untuk Semua Ganjar Mahfud,pada pembukaan debat capres ganjar tanggapi wacana demokrasi dari paslon nomor urut dengan mengungkapkan bahwa demokrasi tak dapat terwujud tanpa peran partai politik sahabat ganjar ganjar pranowo ganjar generasi gotong royong ganjar presiden ganjar untuk semua ganjar mahfud,pembukaan debat capres ganjar tanggapi wacana demokrasi paslon nomor urut demokrasi terwujud peran partai politik sahabat ganjar ganjar pranowo ganjar generasi gotong royong ganjar presiden ganjar ganjar mahfud ,ganjar,buka debat capres ganjar tanggap wacana demokrasi paslon nomor urut demokrasi wujud peran partai politik sahabat ganjar ganjar pranowo ganjar generasi gotong royong ganjar presiden ganjar ganjar mahfud,negative
"@ariefbudiawan7 @Kingcube12 @aewin86 @aniesbaswedan @ganjarpranowo Jgn asbun deh,RUU PA lu kira di komisi III isinya cm PDIP,tuh RUU msh di baleg,blm jg di meja komisi.Tanyakanlah sm ketum partai besar di koalisi 02,mrk semua pembantu pakdhe tinggal suruh kadernya di parlemen bahas itu. Wadas pula dibahas,lu kira itu duit Ganjar?",Jgn asbun deh RUU PA lu kira di komisi I isinya cm PDIP tuh RUU msh di baleg blm jg di meja komisi Tanyakanlah sm ketum partai besar di koalisi mrk semua pembantu pakdhe tinggal suruh kadernya di parlemen bahas itu Wadas pula dibahas lu kira itu duit Ganjar,jgn asbun deh ruu pa lu kira di komisi i isinya cm pdip tuh ruu msh di baleg blm jg di meja komisi tanyakanlah sm ketum partai besar di koalisi mrk semua pembantu pakdhe tinggal suruh kadernya di parlemen bahas itu wadas pula dibahas lu kira itu duit ganjar,asbun deh ruu lu komisi i isinya pdip tuh ruu baleg meja komisi tanyakanlah ketum partai koalisi pembantu pakdhe tinggal suruh kadernya parlemen bahas wadas dibahas lu duit ganjar ,ganjar,asbun deh ruu lu komisi i isi pdip tuh ruu baleg meja komisi tanya tum partai koalisi bantu pakdhe tinggal suruh kader parlemen bahas wadas bahas lu duit ganjar,negative
Ganjar Paling Tegas  makin yakin buat pilih pak ganjar https://t.co/XStvW7i2Hf,Ganjar Paling Tegas makin yakin buat pilih pak ganjar,ganjar paling tegas makin yakin buat pilih pak ganjar,ganjar pilih ganjar ,ganjar,ganjar pilih ganjar,neutral
"@ekokuntadhi1 Keluarga Pak Ganjar tuh bukan cuma keluarga, tapi tim hebat yang selalu bersama-sama. Dukung-mendukung dalam setiap langkah. Keren banget!",Keluarga Pak Ganjar tuh bukan cuma keluarga tapi tim hebat yang selalu bersama sama Dukung mendukung dalam setiap langkah Keren banget,keluarga pak ganjar tuh bukan cuma keluarga tapi tim hebat yang selalu bersama sama dukung mendukung dalam setiap langkah keren banget,keluarga ganjar tuh keluarga tim hebat dukung mendukung langkah keren banget ,ganjar,keluarga ganjar tuh keluarga tim hebat dukung dukung langkah keren banget,positive
@kiki_daliyo Memang yang paling benar itu dukung Ganjar,Memang yang paling benar itu dukung Ganjar,memang yang paling benar itu dukung ganjar,dukung ganjar ,ganjar,dukung ganjar,positive
"@ganjarpranowo @mohmahfudmd Ganjar Pranowo dan Mahfud MD adalah Pemimpin yang paling berintegritas dan tetap komit dalam penegakan hukum, ham dan pemberantasan korupsi.",Ganjar Pranowo dan Mahfud MD adalah Pemimpin yang paling berintegritas dan tetap komit dalam penegakan hukum ham dan pemberantasan korupsi,ganjar pranowo dan mahfud md adalah pemimpin yang paling berintegritas dan tetap komit dalam penegakan hukum ham dan pemberantasan korupsi,ganjar pranowo mahfud md pemimpin berintegritas komit penegakan hukum ham pemberantasan korupsi ,ganjar,ganjar pranowo mahfud md pimpin integritas komit tega hukum ham berantas korupsi,neutral
@antaranews Optimis pak Ganjar memang,Optimis pak Ganjar memang,optimis pak ganjar memang,optimis ganjar ,ganjar,optimis ganjar,positive
@ganjarpranowo @mohmahfudmd Mantap program program yang ganjar mafud akan luncurkan jika kelak terpilih sebagai RI1,Mantap program program yang ganjar mafud akan luncurkan jika kelak terpilih sebagai RI,mantap program program yang ganjar mafud akan luncurkan jika kelak terpilih sebagai ri,mantap program program ganjar mafud luncurkan kelak terpilih ri ,ganjar,mantap program program ganjar mafud luncur kelak pilih ri,positive
"@Hadirailguard Lalu menurut anda paling kuat kepempinan dan paling bijaksana siapa ?  1. anies jadi presiden indonesia memimpin suku bangsa asli yang tidak memiliki kekuatan politik di area politik di kendalikan nasdem, pks dan pkb.  2. ganjar yg pasti di setir sebagai petugas partai pdip ?",Lalu menurut anda paling kuat kepempinan dan paling bijaksana siapa anies jadi presiden indonesia memimpin suku bangsa asli yang tidak memiliki kekuatan politik di area politik di kendalikan nasdem pks dan pkb ganjar yg pasti di setir sebagai petugas partai pdip,lalu menurut anda paling kuat kepempinan dan paling bijaksana siapa anies jadi presiden indonesia memimpin suku bangsa asli yang tidak memiliki kekuatan politik di area politik di kendalikan nasdem pks dan pkb ganjar yg pasti di setir sebagai petugas partai pdip,kuat kepempinan bijaksana anies presiden indonesia memimpin suku bangsa asli memiliki kekuatan politik area politik kendalikan nasdem pks pkb ganjar setir petugas partai pdip ,ganjar,kuat kepempinan bijaksana anies presiden indonesia pimpin suku bangsa asli milik kuat politik area politik kendali nasdem pks pkb ganjar setir tugas partai pdip,positive
"@hariankompas Mantap Pak Ganjar, tetap semangat dan gaspol m3nang 1 putaran.",Mantap Pak Ganjar tetap semangat dan gaspol m nang putaran,mantap pak ganjar tetap semangat dan gaspol m nang putaran,mantap ganjar semangat gaspol nang putaran ,ganjar,mantap ganjar semangat gaspol nang putar,positive
@KataNadiaaa Rakyat yang pintar dan cerdas pasti pilih Ganjar Mahfud,Rakyat yang pintar dan cerdas pasti pilih Ganjar Mahfud,rakyat yang pintar dan cerdas pasti pilih ganjar mahfud,rakyat pintar cerdas pilih ganjar mahfud ,ganjar,rakyat pintar cerdas pilih ganjar mahfud,positive
"Dalam setiap kesempatan, Ganjar-Mahfud tak pernah lupa untuk mengenalkan sekaligus mengangkat nama-nama brand lokal yang tentunya tak kalah berkualitas dibandingkan brand luar. #GanjarMahfudSatset  #paktelur https://t.co/deI9QiFSMR",Dalam setiap kesempatan Ganjar Mahfud tak pernah lupa untuk mengenalkan sekaligus mengangkat nama nama brand lokal yang tentunya tak kalah berkualitas dibandingkan brand luar Ganjar Mahfud Satset paktelur,dalam setiap kesempatan ganjar mahfud tak pernah lupa untuk mengenalkan sekaligus mengangkat nama nama brand lokal yang tentunya tak kalah berkualitas dibandingkan brand luar ganjar mahfud satset paktelur,kesempatan ganjar mahfud lupa mengenalkan mengangkat nama nama brand lokal kalah berkualitas dibandingkan brand ganjar mahfud satset paktelur ,ganjar,sempat ganjar mahfud lupa kenal angkat nama nama brand lokal kalah kualitas banding brand ganjar mahfud satset paktelur,neutral
@KataNadiaaa emang cuma pak ganjar mahfud yg terbaik gagasan nya,emang cuma pak ganjar mahfud yg terbaik gagasan nya,emang cuma pak ganjar mahfud yg terbaik gagasan nya,ganjar mahfud terbaik gagasan nya ,ganjar,ganjar mahfud baik gagas nya,positive
@Prihati_utami Aku tim pan ganjar mahfud dong jelasss,Aku tim pan ganjar mahfud dong jelas,aku tim pan ganjar mahfud dong jelas,tim ganjar mahfud ,ganjar,tim ganjar mahfud,neutral
"@Dennysiregar7 Mari kita dukung capres yang pernah jadi pelayan rakyat, yg kinerjanya bagus seperti pak ganjar ia lah sosok yang tepat untuk memimpin Indonesia",Mari kita dukung capres yang pernah jadi pelayan rakyat yg kinerjanya bagus seperti pak ganjar ia lah sosok yang tepat untuk memimpin Indonesia,mari kita dukung capres yang pernah jadi pelayan rakyat yg kinerjanya bagus seperti pak ganjar ia lah sosok yang tepat untuk memimpin indonesia,mari dukung capres pelayan rakyat kinerjanya bagus ganjar sosok memimpin indonesia ,ganjar,mari dukung capres layan rakyat kerja bagus ganjar sosok pimpin indonesia,positive
menunjukkan dukungan yang besar. Ganjar Pranowo juga menegaskan komitmennya untuk memperjuangkan kepentingan rakyat dan membangun Indonesia yang lebih baik.,menunjukkan dukungan yang besar Ganjar Pranowo juga menegaskan komitmennya untuk memperjuangkan kepentingan rakyat dan membangun Indonesia yang lebih baik,menunjukkan dukungan yang besar ganjar pranowo juga menegaskan komitmennya untuk memperjuangkan kepentingan rakyat dan membangun indonesia yang lebih baik,dukungan ganjar pranowo komitmennya memperjuangkan kepentingan rakyat membangun indonesia ,ganjar,dukung ganjar pranowo komitmen juang penting rakyat bangun indonesia,positive
@KataNadiaaa Emang yah cuman pak ganjar mahfud yang terbaik jadi makin yakin dukung Ganjar Mahfud,Emang yah cuman pak ganjar mahfud yang terbaik jadi makin yakin dukung Ganjar Mahfud,emang yah cuman pak ganjar mahfud yang terbaik jadi makin yakin dukung ganjar mahfud,ya cuman ganjar mahfud terbaik dukung ganjar mahfud ,ganjar,ya cuman ganjar mahfud baik dukung ganjar mahfud,positive
@JhonniSinaga20 @Ganjar_Mahfud03 Ini baru betul,Ini baru betul,ini baru betul,,ganjar,,neutral
@ganjarpranowo @mohmahfudmd Pak Ganjar Mahfud. Semoga perjalanan menuju Indonesia unggul berjalan lancar dan membawa manfaat bagi semua.,Pak Ganjar Mahfud Semoga perjalanan menuju Indonesia unggul berjalan lancar dan membawa manfaat bagi semua,pak ganjar mahfud semoga perjalanan menuju indonesia unggul berjalan lancar dan membawa manfaat bagi semua,ganjar mahfud semoga perjalanan indonesia unggul berjalan lancar membawa manfaat ,ganjar,ganjar mahfud moga jalan indonesia unggul jalan lancar bawa manfaat,positive
"@ganjarpranowo @mohmahfudmd Pokoknya sampai saat ini, pak Ganjar paling OK dari semua kandidat lainnya. Pertahankan ya pak...dan terus dekat langsung turun ke rakyat + tulus pada rakyat 👍",Pokoknya sampai saat ini pak Ganjar paling OK dari semua kandidat lainnya Pertahankan ya pak dan terus dekat langsung turun ke rakyat tulus pada rakyat,pokoknya sampai saat ini pak ganjar paling ok dari semua kandidat lainnya pertahankan ya pak dan terus dekat langsung turun ke rakyat tulus pada rakyat,pokoknya ganjar ok kandidat pertahankan ya langsung turun rakyat tulus rakyat ,ganjar,pokok ganjar ok kandidat tahan ya langsung turun rakyat tulus rakyat,positive
