full_text,cleaned_text,case_folding,normalisasi,affiliate,stemming,labeling
@ch_chotimah2 @prabowo @gibran_tweet Anis saja dipecat Mentri. Indikasi terduga ala kelebihan bayar. Lanjut Gubernur intoleransi jual mayat dalam politik agama. Hasil anggaran dki bocor bocor hanya sukses kelebihan bayar yang ada. Masih mendingan Ganjar Mahfud lebih amanah dari Anis.,Anis saja dipecat Mentri Indikasi terduga ala kelebihan bayar Lanjut Gubernur intoleransi jual mayat dalam politik agama Hasil anggaran dki bocor bocor hanya sukses kelebihan bayar yang ada Masih mendingan Ganjar Mahfud lebih amanah dari Anis,anis saja dipecat mentri indikasi terduga ala kelebihan bayar lanjut gubernur intoleransi jual mayat dalam politik agama hasil anggaran dki bocor bocor hanya sukses kelebihan bayar yang ada masih mendingan ganjar mahfud lebih amanah dari anis,anis dipecat mentri indikasi terduga ala kelebihan bayar gubernur intoleransi jual mayat politik agama hasil anggaran dki bocor bocor sukses kelebihan bayar mendingan ganjar mahfud amanah anis ,prabowo,anis pecat tri indikasi duga ala lebih bayar gubernur intoleransi jual mayat politik agama hasil anggar dki bocor bocor sukses lebih bayar mending ganjar mahfud amanah anis,neutral
@Resty_J_Cayah @prabowo @KPU_ID @bawaslu_RI masih bocil ternyata 😁😂🤣,masih bocil ternyata,masih bocil ternyata,bocil ,prabowo,bocil,neutral
"@zy_zy_its_me 🤣 🤣 🤣 Anies itu di pilih dulu 2016 krn elektabilitasnya bagus dianggap bisa lawan ahok, prabowo gak bodoh kalo elektabilitas anies jelek gak bakal di pilih, jd prabowo waktu itu butuh anies dan reza patra org gerindra menjabat tuh.",Anies itu di pilih dulu krn elektabilitasnya bagus dianggap bisa lawan ahok prabowo gak bodoh kalo elektabilitas anies jelek gak bakal di pilih jd prabowo waktu itu butuh anies dan reza patra org gerindra menjabat tuh,anies itu di pilih dulu krn elektabilitasnya bagus dianggap bisa lawan ahok prabowo gak bodoh kalo elektabilitas anies jelek gak bakal di pilih jd prabowo waktu itu butuh anies dan reza patra org gerindra menjabat tuh,anies pilih elektabilitasnya bagus dianggap lawan ahok prabowo bodoh kalo elektabilitas anies jelek pilih prabowo butuh anies reza patra orang gerindra menjabat tuh ,prabowo,anies pilih elektabilitasnya bagus anggap lawan ahok prabowo bodoh kalo elektabilitas anies jelek pilih prabowo butuh anies reza patra orang gerindra jabat tuh,negative
"semangat kerja nya ya bang ngebelain paslon kosong"" sama ngejilat jokowi nya. Pak Anies Beliau gapernah selalu ngerasa lebih baik dari Pak Jokowi atau Pak Prabowo atau siapapun beliau hanya ingin membuktikan kepada orang² yang merasa pesimis terhadap gagasannya😋 https://t.co/GabxLw33dg""",semangat kerja nya ya bang ngebelain paslon kosong sama ngejilat jokowi nya Pak Anies Beliau gapernah selalu ngerasa lebih baik dari Pak Jokowi atau Pak Prabowo atau siapapun beliau hanya ingin membuktikan kepada orang yang merasa pesimis terhadap gagasannya,semangat kerja nya ya bang ngebelain paslon kosong sama ngejilat jokowi nya pak anies beliau gapernah selalu ngerasa lebih baik dari pak jokowi atau pak prabowo atau siapapun beliau hanya ingin membuktikan kepada orang yang merasa pesimis terhadap gagasannya,semangat kerja nya ya bang membela paslon kosong menjilat jokowi nya anies beliau jokowi prabowo beliau membuktikan orang pesimis gagasannya ,prabowo,semangat kerja nya ya bang bela paslon kosong jilat jokowi nya anies beliau jokowi prabowo beliau bukti orang pesimis gagas,positive
@KataNadiaaa Pntsn mati²an bela Prabowo trnya pendukungny penjahat,Pntsn mati an bela Prabowo trnya pendukungny penjahat,pntsn mati an bela prabowo trnya pendukungny penjahat,pntsn mati an bela prabowo trnya pendukungny penjahat ,prabowo,pntsn mati an bela prabowo trnya pendukungny jahat,negative
@OmpungGuru @ganjarpranowo @aniesbaswedan @prabowo Selamat Pagi Sobatku @OmpungGuru  Semangat Kopi Pagi ☕️☕️🌻🙏🇮🇩,Selamat Pagi Sobatku Semangat Kopi Pagi,selamat pagi sobatku semangat kopi pagi,selamat pagi sobatku semangat kopi pagi ,prabowo,selamat pagi sobat semangat kopi pagi,positive
@tempodotco Pak Prabowo memang sosok yang sangat di tunggu tunggu jogetnya oleh para ibu ibu gemoy,Pak Prabowo memang sosok yang sangat di tunggu tunggu jogetnya oleh para ibu ibu gemoy,pak prabowo memang sosok yang sangat di tunggu tunggu jogetnya oleh para ibu ibu gemoy,prabowo sosok tunggu tunggu jogetnya gemoy ,prabowo,prabowo sosok tunggu tunggu joget gemoy,neutral
"@msaid_didu @prabowo @aniesbaswedan pak prabowo dari 2004 - 2019 jadi oposisi, mas anies belum pernah jadi oposisi, dia jadi gubernur, come on mas didu...",pak prabowo dari jadi oposisi mas anies belum pernah jadi oposisi dia jadi gubernur come on mas didu,pak prabowo dari jadi oposisi mas anies belum pernah jadi oposisi dia jadi gubernur come on mas didu,prabowo oposisi mas anies oposisi gubernur come on mas didu ,prabowo,prabowo oposisi mas anies oposisi gubernur come on mas didu,negative
@PartaiSocmed @aniesbaswedan @prabowo Dan ini faktanya https://t.co/H50ligrUvx,Dan ini faktanya,dan ini faktanya,faktanya ,prabowo,fakta,neutral
"@bengkeldodo nanti om dodo dapat apa kalau dikasih ke a ang? padahal pak prabowo sendiri bilang dia tidak butuh jabatan om,trus sekarang jadi menhan itu jabatan atau kuli panggul??",nanti om dodo dapat apa kalau dikasih ke a ang padahal pak prabowo sendiri bilang dia tidak butuh jabatan om trus sekarang jadi menhan itu jabatan atau kuli panggul,nanti om dodo dapat apa kalau dikasih ke a ang padahal pak prabowo sendiri bilang dia tidak butuh jabatan om trus sekarang jadi menhan itu jabatan atau kuli panggul,om dodo dikasih a ang prabowo bilang butuh jabatan om menhan jabatan kuli panggul ,prabowo,om dodo kasih a ang prabowo bilang butuh jabat om menhan jabat kuli panggul,neutral
