created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Dec 13 23:59:59 +0000 2023;1735087200700867014;"@ekokuntadhi1 Keliatan banget harmonisnya keluarga Pak Ganjar. Saling support dan saling menghargai, benar-benar family goals!";0;0;0;0;in;1701371722690330624;1734801744197279959;nadianovi_;https://twitter.com/nadianovi_/status/1735087200700867014
Wed Dec 13 23:59:59 +0000 2023;1735087199429984742;"@ch_chotimah2 @prabowo @gibran_tweet Anis saja dipecat Mentri. Indikasi terduga ala kelebihan bayar. Lanjut Gubernur intoleransi jual mayat dalam politik agama. Hasil anggaran dki bocor bocor hanya sukses kelebihan bayar yang ada. Masih mendingan Ganjar Mahfud lebih amanah dari Anis.";0;0;0;0;in;199958165;1734942545573245013;dantsus;https://twitter.com/dantsus/status/1735087199429984742
Wed Dec 13 23:59:52 +0000 2023;1735087171403735105;"@ekokuntadhi1 Jadi pengen punya keluarga yang kayak keluarga Pak Ganjar, selalu solid dan penuh kasih sayang. Saling dukung dalam suka dan duka.";0;0;0;1;in;1701362279818936320;1734801744197279959;osvaldoherra;https://twitter.com/osvaldoherra/status/1735087171403735105
Wed Dec 13 23:59:51 +0000 2023;1735087166337028449;"Pada pembukaan debat Capres Ganjar tanggapi wacana demokrasi dari Paslon Nomor Urut 1 dengan mengungkapkan bahwa demokrasi tak dapat terwujud tanpa peran Partai Politik #SahabatGanjar #GanjarPranowo #Ganjar #GenerasiGotongRoyong #GanjarPresiden #GanjarUntukSemua #GanjarMahfud2024 https://t.co/O5ERFqjY0g";0;0;0;0;in;1429083759249264643;1735087166337028449;siagaselalu;https://twitter.com/siagaselalu/status/1735087166337028449
Wed Dec 13 23:59:48 +0000 2023;1735087152906879092;"@ariefbudiawan7 @Kingcube12 @aewin86 @aniesbaswedan @ganjarpranowo Jgn asbun deh,RUU PA lu kira di komisi III isinya cm PDIP,tuh RUU msh di baleg,blm jg di meja komisi.Tanyakanlah sm ketum partai besar di koalisi 02,mrk semua pembantu pakdhe tinggal suruh kadernya di parlemen bahas itu. Wadas pula dibahas,lu kira itu duit Ganjar?";0;1;0;0;in;965655734674341888;1734597555047268469;sintasuryantoro;https://twitter.com/sintasuryantoro/status/1735087152906879092
Wed Dec 13 23:59:46 +0000 2023;1735087145013182865;"Ganjar Paling Tegas  makin yakin buat pilih pak ganjar https://t.co/XStvW7i2Hf";0;0;0;0;in;1673146113883508736;1735087145013182865;aiiaiilen;https://twitter.com/aiiaiilen/status/1735087145013182865
Wed Dec 13 23:59:45 +0000 2023;1735087141456417070;"@ekokuntadhi1 Keluarga Pak Ganjar tuh bukan cuma keluarga, tapi tim hebat yang selalu bersama-sama. Dukung-mendukung dalam setiap langkah. Keren banget!";0;0;0;0;in;1701360520723660801;1734801744197279959;novantoheri;https://twitter.com/novantoheri/status/1735087141456417070
Wed Dec 13 23:59:44 +0000 2023;1735087138092576898;"@kiki_daliyo Memang yang paling benar itu dukung Ganjar";0;0;0;0;in;1682944997577072640;1734900318176223597;AndreaLata8984;https://twitter.com/AndreaLata8984/status/1735087138092576898
Wed Dec 13 23:59:42 +0000 2023;1735087130110771598;"@ganjarpranowo @mohmahfudmd Ganjar Pranowo dan Mahfud MD adalah Pemimpin yang paling berintegritas dan tetap komit dalam penegakan hukum, ham dan pemberantasan korupsi.";0;0;0;0;in;1708738398176022528;1734825872543346892;Malik1922088;https://twitter.com/Malik1922088/status/1735087130110771598
Wed Dec 13 23:59:41 +0000 2023;1735087124121309539;"@antaranews Optimis pak Ganjar memang";0;0;0;0;in;1709578291819237376;1734910962938077218;AbdulG1797223;https://twitter.com/AbdulG1797223/status/1735087124121309539
Wed Dec 13 23:59:39 +0000 2023;1735087117330784612;"@ganjarpranowo @mohmahfudmd Mantap program program yang ganjar mafud akan luncurkan jika kelak terpilih sebagai RI1";0;0;0;0;in;1724968649361072128;1734825872543346892;CRseven190260;https://twitter.com/CRseven190260/status/1735087117330784612
Wed Dec 13 23:59:38 +0000 2023;1735087112532463745;"@Hadirailguard Lalu menurut anda paling kuat kepempinan dan paling bijaksana siapa ?  1. anies jadi presiden indonesia memimpin suku bangsa asli yang tidak memiliki kekuatan politik di area politik di kendalikan nasdem, pks dan pkb.  2. ganjar yg pasti di setir sebagai petugas partai pdip ?";0;0;0;0;in;1664574526947213317;1734896034248347938;T007bond;https://twitter.com/T007bond/status/1735087112532463745
Wed Dec 13 23:59:36 +0000 2023;1735087102470308257;"@hariankompas Mantap Pak Ganjar, tetap semangat dan gaspol m3nang 1 putaran.";0;0;0;1;in;1705748146792566784;1734605966086111322;rarandutt333;https://twitter.com/rarandutt333/status/1735087102470308257
Wed Dec 13 23:59:33 +0000 2023;1735087091841970232;"@KataNadiaaa Rakyat yang pintar dan cerdas pasti pilih Ganjar Mahfud";0;0;0;0;in;1701777947131281408;1734933690382442741;Hamvas131059;https://twitter.com/Hamvas131059/status/1735087091841970232
