created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Dec 13 23:59:59 +0000 2023;1735087199429984742;"@ch_chotimah2 @prabowo @gibran_tweet Anis saja dipecat Mentri. Indikasi terduga ala kelebihan bayar. Lanjut Gubernur intoleransi jual mayat dalam politik agama. Hasil anggaran dki bocor bocor hanya sukses kelebihan bayar yang ada. Masih mendingan Ganjar Mahfud lebih amanah dari Anis.";0;0;0;0;in;199958165;1734942545573245013;dantsus;https://twitter.com/dantsus/status/1735087199429984742
Wed Dec 13 23:59:56 +0000 2023;1735087187086213219;"@Resty_J_Cayah @prabowo @KPU_ID @bawaslu_RI masih bocil ternyata 😁😂🤣";0;0;0;0;in;1273173938382737415;1734856460608360585;bossman122020;https://twitter.com/bossman122020/status/1735087187086213219
Wed Dec 13 23:59:53 +0000 2023;1735087176235499640;"@zy_zy_its_me 🤣 🤣 🤣 Anies itu di pilih dulu 2016 krn elektabilitasnya bagus dianggap bisa lawan ahok, prabowo gak bodoh kalo elektabilitas anies jelek gak bakal di pilih, jd prabowo waktu itu butuh anies dan reza patra org gerindra menjabat tuh.";0;0;0;0;in;1530570237753831424;1734872270706008124;xz_ery;https://twitter.com/xz_ery/status/1735087176235499640
Wed Dec 13 23:59:54 +0000 2023;1735087179167318182;"semangat kerja nya ya bang ngebelain paslon "kosong" sama ngejilat jokowi nya. Pak Anies Beliau gapernah selalu ngerasa lebih baik dari Pak Jokowi atau Pak Prabowo atau siapapun beliau hanya ingin membuktikan kepada orang² yang merasa pesimis terhadap gagasannya😋 https://t.co/GabxLw33dg";0;0;0;1;in;1511621740862275584;1735087179167318182;fortunecokiies;https://twitter.com/fortunecokiies/status/1735087179167318182
Wed Dec 13 23:59:51 +0000 2023;1735087168094421029;"@KataNadiaaa Pntsn mati²an bela Prabowo trnya pendukungny penjahat";0;0;0;0;in;1720198499126374400;1734933690382442741;EmmonsStet90660;https://twitter.com/EmmonsStet90660/status/1735087168094421029
Wed Dec 13 23:59:49 +0000 2023;1735087159386972190;"@OmpungGuru @ganjarpranowo @aniesbaswedan @prabowo Selamat Pagi Sobatku @OmpungGuru  Semangat Kopi Pagi ☕️☕️🌻🙏🇮🇩";0;1;0;1;in;1507720071330037765;1735070529068192165;1Rantjono;https://twitter.com/1Rantjono/status/1735087159386972190
Wed Dec 13 23:59:46 +0000 2023;1735087143415169265;"@tempodotco Pak Prabowo memang sosok yang sangat di tunggu tunggu jogetnya oleh para ibu ibu gemoy";0;0;0;0;in;1718935184341618688;1734823360935461087;rionomorempat;https://twitter.com/rionomorempat/status/1735087143415169265
Wed Dec 13 23:59:37 +0000 2023;1735087109516730777;"@msaid_didu @prabowo @aniesbaswedan pak prabowo dari 2004 - 2019 jadi oposisi, mas anies belum pernah jadi oposisi, dia jadi gubernur, come on mas didu...";0;0;0;0;in;1435869929572483079;1734746457905992164;DirgantraP;https://twitter.com/DirgantraP/status/1735087109516730777
Wed Dec 13 23:59:37 +0000 2023;1735087107973267642;"@PartaiSocmed @aniesbaswedan @prabowo Dan ini faktanya https://t.co/H50ligrUvx";0;0;1;0;in;1709902995289505792;1734926880015601827;teukum585;https://twitter.com/teukum585/status/1735087107973267642
Wed Dec 13 23:59:33 +0000 2023;1735087092370457023;"@bengkeldodo nanti om dodo dapat apa kalau dikasih ke a ang? padahal pak prabowo sendiri bilang dia tidak butuh jabatan om,trus sekarang jadi menhan itu jabatan atau kuli panggul??";0;0;0;0;in;1207841880227999747;1734866083641966950;boytoktil;https://twitter.com/boytoktil/status/1735087092370457023
Wed Dec 13 23:59:33 +0000 2023;1735087089467703651;"@Fahrihamzah Sekarang Prabowo jg bareng, termasuk anda...";0;0;0;0;in;551579734;1734976333577593017;Abu_Nafstami;https://twitter.com/Abu_Nafstami/status/1735087089467703651
Wed Dec 13 23:59:22 +0000 2023;1735087046191137033;"@gilinganbesi @Hasbil_Lbs @prabowo @aniesbaswedan Salah satu syarat tak tertulis jadi politisi memang harus kuat malu, kuat bebal, kuat bekelit, kuat adu argument justru orang² seperti itu yg bakal menang, ibarat kita sekolah nih yg nyebelin yg cari muka itu yg terkenal ya gak? 😁";0;0;0;2;in;197711564;1734822919061242281;menkosaurus;https://twitter.com/menkosaurus/status/1735087046191137033
Wed Dec 13 23:59:18 +0000 2023;1735087026028871902;"@savicali Yang melanjutkan kan Gibran. Prabowo hanya berapa bulan aja setelah dilantik lalu berhalangan tetap, naskah Gibran sang penerus aslinya.";0;0;0;0;in;1450054166202785794;1734935173479948342;dum2nd;https://twitter.com/dum2nd/status/1735087026028871902
Wed Dec 13 23:59:16 +0000 2023;1735087017980203039;"@jansen_jsp @prabowo Dia di calonkan oleh pendukungnya sbg representasi suara rakyat dan sebuah kewajiban memperjuangkan aspirasi para pendukungnya. Gak ad urusan dgn siapa yg jd lawannya. Namanya jg kompetisi. Fyi, simak video di bawah ini hsl pengamatan psikologi dr setiap capres. https://t.co/16EJi5QDi8";0;0;0;0;in;1129945080582639616;1734804153854255203;nd176NumeroUno;https://twitter.com/nd176NumeroUno/status/1735087017980203039
Wed Dec 13 23:59:15 +0000 2023;1735087016562626721;"@FurqanIbr64677 tokoh PDIP sekalipun terlihat bahagia sekali saat Anies balas skakmat Prabowo.";0;0;0;1;in;1698466451697393664;1734893535890145648;GurunSupark017;https://twitter.com/GurunSupark017/status/1735087016562626721
Wed Dec 13 23:59:15 +0000 2023;1735087014511550851;"@Metro_TV @prabowo @aniesbaswedan Mendingan gausah ikut pilpres lagi pak, mending istirahat aja";0;0;0;0;in;1732698903945064448;1734779601824764355;reza_893;https://twitter.com/reza_893/status/1735087014511550851
Wed Dec 13 23:59:11 +0000 2023;1735086998640361963;"@FayaAtika Prabowo otaknya harus di upgrade";0;0;0;0;in;817391445283782658;1734751450314768466;GanRusdi;https://twitter.com/GanRusdi/status/1735086998640361963
Wed Dec 13 23:59:08 +0000 2023;1735086986451689658;"@tempodotco Astaga, Pak Prabowo, Anda memang sosok super mega hebat!";0;0;0;0;in;1720606710518157312;1734823360935461087;BsDarel34769;https://twitter.com/BsDarel34769/status/1735086986451689658
Wed Dec 13 23:59:07 +0000 2023;1735086983234679144;"@edi_muchlis @Resty_J_Cayah @Dahnilanzar @prabowo Ooooalaah mbaaah mbaaah..";0;0;0;0;in;1603543239289470977;1734905784788721830;yarukinohearth;https://twitter.com/yarukinohearth/status/1735086983234679144
Wed Dec 13 23:59:06 +0000 2023;1735086978474086536;"@YuHelmi877816 @sabaradi78 @GeiszChalifah Justru RK jadi pelatih disitu, beliau yang melatih public speaking dan sia-sia karena prabowo nunjukkin sifat aslinya yang gabisa kontrol emosi hahaha";0;1;0;3;in;1146344837831987200;1734852147500712253;reefqyk;https://twitter.com/reefqyk/status/1735086978474086536
Wed Dec 13 23:58:58 +0000 2023;1735086944324133329;"@zy_zy_its_me Politik itu penghianatan... yang gak siap dihianati gak sah masuk politik... pak prabowo faham itu... anda belajar lagi...";0;0;0;0;in;992394339237085184;1734872270706008124;Tel_annas10;https://twitter.com/Tel_annas10/status/1735086944324133329
Wed Dec 13 23:58:57 +0000 2023;1735086941430026576;"@Metro_TV @prabowo @aniesbaswedan Takut banget loh liatnya, sabar ya pak anies";0;0;0;0;in;1554756610106347521;1734779601824764355;kpopies92629243;https://twitter.com/kpopies92629243/status/1735086941430026576
Wed Dec 13 23:58:54 +0000 2023;1735086928008200506;"@ahora_baila @Rohmat31255240 @Fahrihamzah ☕☕☕ngopi mas klau masalah ham udh terbukti korban ada pelaku juga ada apa lagi Prabowo genit sekali mau tiap 5th ikut pemilu tahu kalah melulu🤫😀😀";0;0;0;0;in;1626387993140543489;1734969649752854984;SetiaHandiansy1;https://twitter.com/SetiaHandiansy1/status/1735086928008200506
