text,labels,affiliate,encoded_column
anies mulutnya otaknya berpura pura fuck anies ,0,anies,"['anies', 'mulutnya', 'otaknya', 'berpur', '##a', 'pura', 'fu', '##ck', 'anies']"
mimpi lo lonte lo respek calon pilihan rakyat respect lo menonton debat sih wowo sih lahap anies sih bocil panik pasukan nya tepuk tangan wowo bicara digital era lo mengomong berbusa bohong ,2,anies,"['mimpi', 'lo', 'lont', '##e', 'lo', 'resp', '##ek', 'calon', 'pilihan', 'rakyat', 'resp', '##ect', 'lo', 'menonton', 'debat', 'sih', 'wow', '##o', 'sih', 'lah', '##ap', 'anies', 'sih', 'boc', '##il', 'panik', 'pasukan', 'nya', 'tepuk', 'tangan', 'wow', '##o', 'bicara', 'digital', 'era', 'lo', 'meng', '##omong', 'berb', '##usa', 'bohong']"
anies pilih elektabilitasnya bagus dianggap lawan ahok prabowo bodoh kalo elektabilitas anies jelek pilih prabowo butuh anies reza patra orang gerindra menjabat tuh ,0,anies,"['anies', 'pilih', 'ele', '##kt', '##abilitas', '##nya', 'bagus', 'dianggap', 'lawan', 'ahok', 'prabowo', 'bodoh', 'kalo', 'ele', '##kt', '##abilitas', 'anies', 'jelek', 'pilih', 'prabowo', 'butuh', 'anies', 'reza', 'pat', '##ra', 'orang', 'gerindra', 'menjabat', 'tuh']"
semangat kerja nya ya bang membela paslon kosong menjilat jokowi nya anies beliau jokowi prabowo beliau membuktikan orang pesimis gagasannya ,2,anies,"['semangat', 'kerja', 'nya', 'ya', 'bang', 'membela', 'paslon', 'kosong', 'menjilat', 'jokowi', 'nya', 'anies', 'beliau', 'jokowi', 'prabowo', 'beliau', 'membuktikan', 'orang', 'pesimis', 'gagasan', '##nya']"
hebatnya anies dipinang potensi emas tetaplah emas indonesia perubahan ,2,anies,"['hebatnya', 'anies', 'dip', '##inang', 'potensi', 'emas', 'tetaplah', 'emas', 'indonesia', 'perubahan']"
bravo anies usul program perluas perkebunan buah an nasional terkesan minim pisang lokal bagus sulit kalo lihat toko buah supermarket pasar buah buah impor kadang kalahkan buah lokal petani buahpun disejahterakan ,2,anies,"['bra', '##vo', 'anies', 'usul', 'program', 'perlu', '##as', 'perkebunan', 'buah', 'an', 'nasional', 'terkesan', 'minim', 'pisang', 'lokal', 'bagus', 'sulit', 'kalo', 'lihat', 'toko', 'buah', 'supermarket', 'pasar', 'buah', 'buah', 'impor', 'kadang', 'kalahkan', 'buah', 'lokal', 'petani', 'buah', '##pun', 'dis', '##ejahterakan']"
kuat kepempinan bijaksana anies presiden indonesia memimpin suku bangsa asli memiliki kekuatan politik area politik kendalikan nasdem pks pkb ganjar setir petugas partai pdip ,2,anies,"['kuat', 'kepem', '##pin', '##an', 'bijaksana', 'anies', 'presiden', 'indonesia', 'memimpin', 'suku', 'bangsa', 'asli', 'memiliki', 'kekuatan', 'politik', 'area', 'politik', 'kendali', '##kan', 'nasdem', 'pks', 'pkb', 'ganja', '##r', 'seti', '##r', 'petugas', 'partai', 'pdip']"
prabowo oposisi mas anies oposisi gubernur come on mas didu ,0,anies,"['prabowo', 'oposisi', 'mas', 'anies', 'oposisi', 'gubernur', 'come', 'on', 'mas', 'did', '##u']"
ya jelasin bilang anies sih ,1,anies,"['ya', 'jelas', '##in', 'bilang', 'anies', 'sih']"
propaganda p b gue anies simbol oposisi partai mestinya mendukung kebijakannya dki ,1,anies,"['propaganda', 'p', 'b', 'gue', 'anies', 'simbol', 'oposisi', 'partai', 'mestinya', 'mendukung', 'kebijakan', '##nya', 'dki']"
